state,district,season,N,P,K,pH,humidity,rainfall,temperature
Andaman And Nicobar Islands,Andaman And Nicobar Islands,kharif,117.78,62.2263,79.4339,6.4089,78.3591,163.4393,27.5254
Andaman And Nicobar Islands,Andaman And Nicobar Islands,rabi,88.995,65.225,34.92,6.1145,72.7252,94.697,24.883
Andaman And Nicobar Islands,Andaman And Nicobar Islands,zaid,88.995,65.225,34.92,6.1145,72.7252,94.697,24.883
Andaman And Nicobar Islands,Nicobars,kharif,90.8729,55.0219,58.448,6.2676,82.2775,168.457,26.7335
Andaman And Nicobar Islands,Nicobars,rabi,77.76,48.44,19.79,6.2452,65.0922,84.767,22.3892
Andaman And Nicobar Islands,North And Middle Andaman,kharif,95.2477,56.549,60.6274,6.2752,81.5292,167.7654,26.9124
Andaman And Nicobar Islands,North And Middle Andaman,rabi,77.76,48.44,19.79,6.2452,65.0922,84.767,22.3892
Andaman And Nicobar Islands,South Andamans,kharif,93.8514,55.7999,59.6654,6.2722,82.3733,167.5429,26.7206
Andaman And Nicobar Islands,South Andamans,rabi,77.76,48.44,19.79,6.2452,65.0922,84.767,22.3892
Andhra Pradesh,Adilabad,kharif,86.9187,52.9342,48.2843,6.5829,67.4894,131.4353,27.1202
Andhra Pradesh,Adilabad,rabi,87.3367,53.8631,52.2182,6.4703,70.2365,135.2286,22.623
Andhra Pradesh,Adilabad,zaid,73.2327,45.853,60.4917,6.458,69.3548,147.8921,28.4457
Andhra Pradesh,Anantapur,kharif,79.3411,50.2188,44.6406,6.4475,71.7206,136.2948,26.7574
Andhra Pradesh,Anantapur,rabi,85.3915,52.9688,48.8241,6.4483,70.8516,137.5333,22.9042
Andhra Pradesh,Anantapur,zaid,74.0806,44.8643,61.8695,6.4283,68.8801,143.8205,28.3001
Andhra Pradesh,Chittoor,kharif,78.7606,50.0908,44.5412,6.445,71.8498,137.0969,26.849
Andhra Pradesh,Chittoor,rabi,85.6761,52.6709,48.9068,6.4396,70.6093,137.7239,22.6207
Andhra Pradesh,Chittoor,zaid,76.0999,47.6421,59.3655,6.363,67.6275,146.8141,28.3731
Andhra Pradesh,East Godavari,kharif,79.4043,50.3079,44.7823,6.4361,71.5914,136.3223,26.7028
Andhra Pradesh,East Godavari,rabi,86.0648,53.005,48.8333,6.4281,70.6413,137.6535,22.7675
Andhra Pradesh,East Godavari,zaid,73.2073,45.7729,62.4983,6.4112,69.7621,145.8792,27.9352
Andhra Pradesh,Guntur,kharif,79.3465,50.3511,44.5098,6.4452,71.7529,135.9225,26.7741
Andhra Pradesh,Guntur,rabi,85.8851,53.0515,48.8699,6.437,70.5275,139.0009,22.689
Andhra Pradesh,Guntur,zaid,76.3403,47.2406,60.0639,6.4283,67.7062,137.4774,27.6869
Andhra Pradesh,Hyderabad,kharif,88.0069,52.1067,53.3163,6.6677,64.5563,127.8671,28.2553
Andhra Pradesh,Hyderabad,rabi,91.5614,57.1094,66.5963,6.5666,68.2126,122.7888,22.5408
Andhra Pradesh,Hyderabad,zaid,73.6253,47.9192,63.8925,6.4132,69.8795,146.395,28.9346
Andhra Pradesh,Kadapa,kharif,79.6003,49.8378,44.7882,6.4583,71.6944,136.4541,26.7498
Andhra Pradesh,Kadapa,rabi,87.2642,52.8256,51.0106,6.4478,71.1522,141.3707,22.8104
Andhra Pradesh,Kadapa,zaid,73.3553,45.6729,61.447,6.3591,69.6596,137.9036,28.5665
Andhra Pradesh,Karimnagar,kharif,86.4732,52.4351,48.1084,6.5732,66.8461,132.7129,26.9696
Andhra Pradesh,Karimnagar,rabi,86.2236,54.1847,52.5077,6.4607,70.1683,134.6802,22.7716
Andhra Pradesh,Karimnagar,zaid,76.2318,46.1924,61.0657,6.4307,68.6015,142.5451,27.6094
Andhra Pradesh,Khammam,kharif,81.7132,50.8285,46.9205,6.501,69.8111,133.1509,27.0894
Andhra Pradesh,Khammam,rabi,86.3656,53.8673,52.2102,6.4377,70.0574,133.7957,22.7856
Andhra Pradesh,Khammam,zaid,75.9123,44.2306,62.9787,6.4329,69.4451,144.8061,27.8539
Andhra Pradesh,Krishna,kharif,79.3496,49.7617,44.4057,6.4347,71.7237,136.6613,26.8151
Andhra Pradesh,Krishna,rabi,85.8388,52.3802,48.6407,6.4445,70.6455,139.0013,22.6216
Andhra Pradesh,Krishna,zaid,76.2314,45.5314,62.2029,6.4997,68.4492,144.9759,27.82
Andhra Pradesh,Kurnool,kharif,81.4917,51.2987,45.1356,6.4694,70.9485,135.0228,26.7769
Andhra Pradesh,Kurnool,rabi,86.1166,52.6659,48.8918,6.4321,70.7322,137.7984,22.6431
Andhra Pradesh,Kurnool,zaid,75.8725,45.7295,63.4332,6.4383,67.8707,141.1025,28.1585
Andhra Pradesh,Mahbubnagar,kharif,82.021,48.8805,46.7016,6.5263,68.9394,135.4341,27.1867
Andhra Pradesh,Mahbubnagar,rabi,86.6728,53.7126,52.4594,6.4573,70.1436,133.5252,22.7588
Andhra Pradesh,Mahbubnagar,zaid,74.9653,47.2075,63.4809,6.3081,67.4493,144.049,28.8291
Andhra Pradesh,Medak,kharif,84.6643,52.2133,47.4653,6.517,69.3951,131.3171,27.2099
Andhra Pradesh,Medak,rabi,87.7431,53.458,51.9261,6.4634,70.2412,133.3447,22.6598
Andhra Pradesh,Medak,zaid,71.6081,45.4773,64.6503,6.3974,68.6322,138.6415,29.0129
Andhra Pradesh,Nalgonda,kharif,82.0673,50.4321,46.6374,6.5177,69.1555,132.6793,27.261
Andhra Pradesh,Nalgonda,rabi,87.1757,53.8905,52.3698,6.45,70.0248,134.6228,22.754
Andhra Pradesh,Nalgonda,zaid,74.9175,46.4545,61.3541,6.3893,69.6134,146.7608,27.8735
Andhra Pradesh,Nizamabad,kharif,84.8134,52.9532,47.1713,6.518,68.2882,131.4605,27.0659
Andhra Pradesh,Nizamabad,rabi,86.8515,54.3647,52.7863,6.4601,69.9196,133.0994,22.7321
Andhra Pradesh,Nizamabad,zaid,76.5259,45.4683,63.0764,6.4625,69.4389,141.853,28.2975
Andhra Pradesh,Prakasam,kharif,79.968,50.7551,44.5739,6.4517,71.4511,136.3267,26.8242
Andhra Pradesh,Prakasam,rabi,85.8936,52.8686,49.6754,6.433,70.4922,137.5413,22.8682
Andhra Pradesh,Prakasam,zaid,74.5782,45.7821,62.8238,6.4822,69.8345,143.4447,28.4336
Andhra Pradesh,Rangareddi,kharif,82.2498,50.7599,46.705,6.4933,69.9178,132.129,27.1831
